Equipe,Absence 1,Absence 2,Absence 3,Absence 4,Style de jeu,Lien calendrier,Rang equipe,Ligue,Classement reel,Points finaux
Manchester City,De Bruyne,Haaland,Rodri,Grealish/Foden,Build up,https://fbref.com/fr/equipes/b8fd03ef/2022-2023/Statistiques-Manchester-City#all_matchlogs,1,UK,1,89
Manchester United,Fernandes,Casemiro,Rashford,Dalot,Direct,https://fbref.com/fr/equipes/19538871/2022-2023/Statistiques-Manchester-United#all_matchlogs,2,UK,3,75
Chelsea,James,Silva,Badiashile/Koulibaly,Enzo Fernandez,Build up,https://fbref.com/fr/equipes/cff3d9bb/2022-2023/Statistiques-Chelsea#all_matchlogs,2,UK,12,44
Crystal Palace,Eze,Olise,Andersen,Zaha,Build up,https://fbref.com/fr/equipes/47c64c55/2022-2023/Statistiques-Crystal-Palace#all_matchlogs,3,UK,11,45
WBA,,,,,Counter Attack,,3,UK,100,0
Wolverhampton Wanderers,Neves,Killman,Nunes,Cunha,Build up,https://fbref.com/fr/equipes/8cec06e1/2022-2023/Statistiques-Wolverhampton-Wanderers#all_matchlogs,3,UK,13,41
Leeds United,Adams,Harrison,Rodrigo,Struijk,Build up,https://fbref.com/fr/equipes/5bfb9659/2022-2023/Statistiques-Leeds-United#all_matchlogs,3,UK,19,31
Leicester City,Maddison,Tielemans,Dewsbury-Hall,Fofana/Soyuncu,Direct,https://fbref.com/fr/equipes/a2d435b3/2022-2023/Statistiques-Leicester-City#all_matchlogs,3,UK,18,34
Liverpool,Salah,Alexander-Arnold,Gakpo/Diaz,Van Dijk,Direct,https://fbref.com/fr/equipes/822bd0ba/2022-2023/Statistiques-Liverpool#all_matchlogs,1,UK,5,67
Fulham,Mitrovic,Willian,Tete,Palhinho,Counter Attack,https://fbref.com/fr/equipes/fd962109/2022-2023/Statistiques-Fulham#all_matchlogs,3,UK,10,52
Sheffield,,,,,Counter Attack,,3,UK,100,0
Everton,Mcneil,Tarkowski,Iwobi,Onana,Direct,https://fbref.com/fr/equipes/d3fd31cc/2022-2023/Statistiques-Everton,3,UK,17,36
Tottenham Hotspur,Kane,Son,Hojbjerg,Bentancur,Direct,https://fbref.com/fr/equipes/361ca564/2022-2023/Statistiques-Tottenham-Hotspur#all_matchlogs,2,UK,8,60
Bournemouth,Tavernier,Billing,Solanke,Ouattara/Traore,Maintenance,https://fbref.com/fr/equipes/4ba7cbea/2022-2023/Statistiques-Bournemouth#all_matchlogs,4,UK,15,39
Nottingham Forest,Felipe,Gibbs-White,Aurier,Williams,Counter Attack,https://fbref.com/fr/equipes/e4a775cb/2022-2023/Statistiques-Nottingham-Forest#all_matchlogs,4,UK,16,38
Brentford,Toney,Pinnock,Norgaard,Mbeumo,Build up,https://fbref.com/fr/equipes/cd051869/2022-2023/Statistiques-Brentford#all_matchlogs,3,UK,9,59
